ticker,eps_yoy,revenue_growth,revenue_acceleration,earnings_surprise,roe,gross_margin,debt_to_equity,as_of_date,cached_at_utc
AA,54.03348465639649,0.3458876186735879,-0.233976045859945,,0.0942390369733447,0.2763431285247848,39.427,2025-05-21,2026-02-21T18:20:32.425090+00:00
AAMI,-0.9478491651269352,-0.0513145052565032,-0.6485782947282603,,0.9262672811059908,0.4870725604670559,241311.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
AAUC,,2.364467550671091,1.1229568269223056,,0.0445146915553357,0.345426045085694,33.147,2025-05-21,2026-02-21T18:20:32.425090+00:00
ABEO,,,,,-0.2905836312687216,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ABT,-0.9995674743093546,-0.0514137505804984,-0.0880085587603781,,0.0271455204769416,0.5686425950955784,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ACAD,-0.6975,-0.048003709586933,-0.0956236519963092,,0.0248119210127058,0.916534666028152,5.975,2025-05-21,2026-02-21T18:20:32.425090+00:00
ACFN,-0.5707491082045183,0.0317230851921526,-0.2791800956013174,,0.0765045342126957,0.7508069722401549,41608.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
ACNT,,0.4032682179240068,-1.3399322836569532,,-0.0251546798894203,0.1931505741549409,24.626,2025-05-21,2026-02-21T18:20:32.425090+00:00
ADC,,,,,,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ADP,1.8748438255697444,0.4638469144344721,,,0.2133964100900039,0.477003421573924,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ADPT,,0.275510844268835,0.0829646307936355,,-0.1567667771225114,0.67623896420876,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ADSK,-0.6961993923987849,0.0818649843807053,-0.0476098133474273,,0.0580817730225449,0.9020208205756276,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AEE,-0.6038408304498268,-0.0687261498425748,0.187135784046301,,0.0236516899909976,0.4487362899380067,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AEM,1.0552901558461905,0.3111054154223041,0.078385642579267,,0.0376460850023371,0.5200915791281914,1.299,2025-05-21,2026-02-21T18:20:32.425090+00:00
AGAE,,0.1058190919419657,0.3228559762553011,,-0.0707035483167851,0.3658644432088645,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AGI,-0.96,-0.148637135341198,-0.1551760419187381,,0.0042250389148321,0.4138138138138138,6.831,2025-05-21,2026-02-21T18:20:32.425090+00:00
AGX,-0.3599999999999999,-0.432211527540723,-0.0715005428474077,,0.0619684249577488,0.1903490653723019,0.626,2025-05-21,2026-02-21T18:20:32.425090+00:00
AHG,,,,,,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AHR,,0.0651302024206519,-0.0400685743914049,,-0.0030074044738014,0.2001098773036775,62.42,2025-05-21,2026-02-21T18:20:32.425090+00:00
AJG,33.78592253227821,0.7635552334078874,0.4047358686866715,,0.0315589983915842,0.4804153028920964,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AKBA,,1.346721440979441,-0.0091934123685875,,0.2486473292380293,0.8670119994418864,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AKO.A,-0.5836764711057462,0.4933587978806504,-0.5186785157596094,,0.0765443030951125,0.4030732718824468,96.979,2025-05-21,2026-02-21T18:20:32.425090+00:00
AKO.B,-0.5836764711057462,0.4933587978806504,-0.5186785157596094,,0.0765443030951125,0.4030732718824468,96.979,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALB,,-0.4157042095402267,,,0.0041231566180263,0.145140456559267,33.954,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALM,,0.3548219874694196,0.3348906584866002,,-1.912606341840681,0.0950935761254425,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALMS,,,,,-0.587966538731181,,9.823,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALMU,,-0.6326604498894028,,,0.0811738227752867,0.6708396880871673,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALNY,,0.0069164416697093,,,-0.497933902196041,0.8804403985937135,376.19,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALSN,-0.0349317859845912,-0.1358221792817419,-0.0037078596867834,,0.1153153153153153,0.4934725848563969,912442.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALTI,,0.251674172498902,0.0576353949858372,,0.0028715154685982,0.2706726704966962,7.276,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALTS,,0.2453855310514712,-0.0803808063142126,,-0.1310581768208887,0.4698948132027566,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ALXO,,,,,-0.3483096438076901,,34.837,2025-05-21,2026-02-21T18:20:32.425090+00:00
AM,0.4172335600907029,0.0487386102411702,,,0.0578093107191199,0.6526974031483467,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AMBP,,-0.0673707009812822,0.1509583916228765,,0.0218340611353711,0.1182965299684542,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ANDE,-0.99984375,0.0292920576262099,-0.3401693883333126,,0.0002094801572871,0.0574901714792008,75.377,2025-05-21,2026-02-21T18:20:32.425090+00:00
AP,-0.980224609375,0.1755307417830693,-0.0166204352632155,,0.0176665325949073,0.2125449575600633,247157.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
APEI,104.0625,0.1548507635309965,-0.0690725512674466,,0.0286859863489155,0.544554575785015,251801.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
APG,-0.7712676255455777,-0.1137623280136378,-0.0954706422779683,,0.0117370892018779,0.3152995927865037,93.162,2025-05-21,2026-02-21T18:20:32.425090+00:00
APH,-0.0660923611997696,0.5413147681566808,,,0.0716227235661864,0.3417168987736437,118.935,2025-05-21,2026-02-21T18:20:32.425090+00:00
ARMN,-0.9375,0.3671999321284112,-0.0786754101027935,,0.0028148889557213,0.4083020161495099,36.509,2025-05-21,2026-02-21T18:20:32.425090+00:00
ARW,-0.5656338111771133,-0.2336962515508569,,,0.0134548409663789,0.1135882108894063,50.285,2025-05-21,2026-02-21T18:20:32.425090+00:00
AS,3.760330578512396,0.1830458798847065,-0.3077446687086032,,0.0257943352113755,0.5779966044142615,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ASA,,,,,,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ASC,0.8526234567901239,-0.4073380626169884,0.0484374686561741,,0.0097938943612667,0.2340531920644359,20.316,2025-05-21,2026-02-21T18:20:32.425090+00:00
ASM,15.0,0.6608113144407803,-0.895634748901998,,0.0424603894533139,0.5607347632193672,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ASND,,-0.8864633771601091,,,0.4985379885884082,0.8264853299522554,706080.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
ASPI,,,,,,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ASRV,32.1776,0.152383387968702,-0.064619398359687,,0.0172265910670916,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ASST,,0.2245003404577092,,,-0.1764105160882372,-2.911680542862277,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ATAT,-0.6025519848771266,0.0076328269388281,-0.1831728818683501,,0.0737122608974804,0.4366863712828219,44.504,2025-05-21,2026-02-21T18:20:32.425090+00:00
ATGE,-0.5841585885569105,0.1740532251649831,,,0.0424593062253221,0.5711471821995258,521844.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
ATI,-0.7419001236966103,0.1851818549330588,-0.1397145359438645,,0.0517941050832977,0.20604683677036,91.271,2025-05-21,2026-02-21T18:20:32.425090+00:00
ATMU,0.0784023668639055,0.0999256589798027,,,0.1684885035808518,0.2653061224489796,161.955,2025-05-21,2026-02-21T18:20:32.425090+00:00
ATNI,,0.0094702877544907,-0.0186966463712604,,-0.018861905415826,0.5553392751570047,109.855,2025-05-21,2026-02-21T18:20:32.425090+00:00
ATO,6.871141975308641,6.567593405556495,,,0.0369597574662438,0.480887997038711,,2025-05-21,2026-02-21T18:20:32.425090+00:00
ATRO,,0.0220944171136066,-0.0362572968367865,,0.0357179005611849,0.2954752932950042,348.355,2025-05-21,2026-02-21T18:20:32.425090+00:00
AU,1.756852972588109,0.7333461983616432,-0.0519946344735078,,0.0653971065839976,0.4274070300560367,24.231,2025-05-21,2026-02-21T18:20:32.425090+00:00
AVAH,-0.9978915035401916,0.2069708759863595,0.0543821770623524,,-0.0526305121162675,0.3282369855371014,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AVGO,0.3097530864197528,0.1397621028277174,-0.0554351462731401,,0.0713505590204926,0.6796187683284457,166.032,2025-05-21,2026-02-21T18:20:32.425090+00:00
AVIR,,,,,-0.0833698222261143,,0.331,2025-05-21,2026-02-21T18:20:32.425090+00:00
AVPT,3.0,0.0982428230671477,0.0392494364848885,,0.0095687657682967,0.7431982291756211,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AWI,-0.1848489795918366,-0.0200741257367546,0.0896818649112975,,0.0870935215528107,0.3916906192840345,398363.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
AXON,0.5770686857760952,0.2300160298362823,-0.0071877362562282,,0.0344229499896903,0.6058962979161179,884930.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
AXS,-0.8001210978052646,-0.0671979693596542,-0.1165858833001044,,0.0328777923829017,,644081.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
AZ,,0.5768457549093877,-0.1182928633970081,,-0.197782227013707,0.3171225937183384,,2025-05-21,2026-02-21T18:20:32.425090+00:00
AZO,-0.4272967572959619,-0.2728170954654847,,,-0.1094544293753854,0.5385613707650685,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BAM,-0.4602249062890463,0.0322713070247304,8.878672316384181,,0.0684415125456473,0.7599629286376274,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BANF,-0.0235977811115706,0.0143974797807313,0.0161825331538398,,0.0335432175592574,,123303.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
BAR,,,,,,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BBAR,-0.6433138082159691,-0.1940772824911419,-0.000277819089035,,0.0283308112349434,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BBSI,,-0.011601411659967,-0.0760240433810703,,-0.0047855411973695,0.1456902032361928,177949.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
BBU,,-0.4655743862617855,0.1042270561133565,,0.0199258572752548,0.1995851237220328,35554.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
BBUC,,-0.2050316483358271,-0.1118185858921808,,0.7435897435897436,0.0900305188199389,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BBVA,0.601806640625,0.0017178437099454,,,0.0489859651034006,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BC,,0.2526304301187769,,,0.0107894455720542,0.2487313799312489,140.428,2025-05-21,2026-02-21T18:20:32.425090+00:00
BCH,0.0378515624999999,0.1926845253804281,-0.0835596966204039,,0.0609679654250932,,316824.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
BCML,-0.2606842702001229,-0.0882230837471753,0.1076947860009087,,0.0173135724197402,,21383.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
BCRX,,0.5449926283913769,-0.0169697138513049,,-7.080789596549886e-05,0.9686121456154576,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BCS,0.4761114507817279,1.0972221957170376,,,0.0279914529914529,,,2025-05-21,2026-02-21T18:20:32.425090+00:00
BFC,0.4803001225208088,0.1154559552631906,0.0322708656154282,,0.0281317183157673,,64731.0,2025-05-21,2026-02-21T18:20:32.425090+00:00
